date_price,open_price,high_price,low_price,close_price,volume
2013-08-07,0.00587384,0.00587384,0.00448605,0.00448605,0.0
2013-08-11,0.00419553,0.00437208,0.00419553,0.00437208,0.0
2013-08-15,0.00439693,0.00439693,0.00332756,0.00332756,0.0
2013-08-19,0.0029013,0.00619764,0.0029013,0.00555976,0.0
2013-08-23,0.00606081,0.00633807,0.0051352,0.0051352,0.0
2013-08-27,0.00552798,0.0064659,0.00552798,0.00641998,0.0
2013-08-31,0.00634881,0.00634881,0.00582002,0.00586333,0.0
2013-09-03,0.00580064,0.00580064,0.00562712,0.00567312,0.0
2013-09-07,0.005577,0.006188,0.005577,0.006188,0.0
2013-09-11,0.00614238,0.00618881,0.00585396,0.00608146,0.0
2013-09-15,0.00642623,0.0065889,0.00634135,0.0064294,0.0
2013-09-19,0.00704318,0.0111217,0.00704318,0.0111217,0.0
2013-09-23,0.0101137,0.0104008,0.00974518,0.0100193,0.0
2013-09-27,0.010433,0.011676,0.010433,0.011676,
2013-09-30,0.0143469,0.0143469,0.0110409,0.0110409,0.0
2013-10-03,0.0119368,0.0119368,0.00840092,0.00840092,0.0
2013-10-07,0.00946689,0.0103753,0.0092795,0.00933073,0.0
2013-10-11,0.00971878,0.010089,0.00906698,0.00906698,0.0
2013-10-15,0.00891616,0.00891616,0.00798699,0.00798699,0.0
2013-10-19,0.00758473,0.00776709,0.00729291,0.00729291,0.0
2013-10-23,0.00753032,0.00753032,0.00674171,0.0074298,0.0
2013-10-27,0.00872816,0.00872816,0.00630711,0.00664484,0.0
2013-10-31,0.0063276,0.0063276,0.00593466,0.00599734,0.0
2013-11-03,0.00618308,0.00715258,0.00618308,0.00715258,0.0
2013-11-07,0.00719038,0.00889267,0.0069937,0.00889267,0.0
2013-11-11,0.0105597,0.0105597,0.00837478,0.00837478,0.0
2013-11-15,0.00892624,0.0105099,0.00892624,0.0096295,0.0
2013-11-19,0.00998194,0.0109638,0.0082943,0.0082943,0.0
2013-11-23,0.00728586,0.00995799,0.00728586,0.00995799,0.0
2013-11-27,0.0134786,0.0234877,0.0134786,0.0234877,0.0
2013-11-30,0.0297636,0.0357765,0.0297636,0.0357765,0.0
2013-12-03,0.052731,0.057516,0.0491969,0.0491969,0.0
2013-12-07,0.054397,0.054397,0.0346756,0.0346756,0.0
2013-12-11,0.034439,0.0437476,0.034439,0.0380613,0.0
2013-12-15,0.034566,0.034566,0.0290606,0.0290606,0.0
2013-12-19,0.0234149,0.0234149,0.0168461,0.0207833,0.0
2013-12-23,0.0214271,0.0231614,0.0214271,0.0231614,0.0
2013-12-27,0.0225342,0.0264432,0.0219629,0.0264432,133863.0
