open,high,low,close,volume,rs_14,rsi_14
0.507484,0.507484,0.506844,0.507364,2417719985.4671617,,
0.507377,0.508553,0.506921,0.508322,2407664343.4917307,inf,100.0
0.507936,0.507936,0.503163,0.506277,2390575444.580816,0.43499825358015143,30.313504040501925
0.506323,0.506761,0.505906,0.506761,2386591611.092879,0.6898788253311505,40.824159400657685
0.508286,0.509046,0.507501,0.507589,2381315560.3781013,1.1594553650223653,53.69202734182733
0.511066,0.514331,0.510998,0.512831,2393002676.442527,4.360986681899168,81.34671732395084
0.513058,0.513058,0.511904,0.512561,2387483888.980887,3.703326963051078,78.73845454811217
0.512537,0.512537,0.510823,0.510823,2376103943.771529,1.810553718907334,64.41982256831682
0.510146,0.51043,0.509058,0.51043,2379232260.3477173,1.6101522354618854,61.6880584046454
0.511135,0.511458,0.509646,0.509646,2371798741.8496246,1.3008259048221975,56.53734609367249
0.508864,0.508864,0.507558,0.507558,2360681414.74398,0.8387031595695609,45.613842299912115
0.50862,0.509997,0.50847,0.509997,2345153420.0038524,1.2855967821030592,56.247750791814454
0.509347,0.509347,0.508064,0.508654,2331066300.8191056,1.0162785220138564,50.403677414507136
0.508843,0.50988,0.508791,0.50988,2262941632.3969135,1.222227748077713,55.00011189829544
0.510237,0.510783,0.510044,0.510044,2242189089.6503854,1.25189642815318,55.59298431766164
0.510002,0.510071,0.508818,0.508818,2197593830.986553,1.0105291572687056,50.26185039969799
0.508758,0.509214,0.507737,0.507737,2017809141.5635839,0.8541545154731682,46.06706228338222
0.506689,0.506942,0.506514,0.506906,1831808186.9308496,0.7571564409565318,43.089870845214186
0.506397,0.508802,0.506397,0.508802,1715916232.5456026,1.0361850054193533,50.88854905922218
0.508358,0.508508,0.507501,0.507816,1537506010.005345,0.8961455306488145,47.261432003174114
0.507902,0.509136,0.507902,0.509136,1424069065.6998613,1.0909930448277756,52.17583327340216
0.509215,0.509606,0.50872,0.509606,1326566287.8977478,1.1657073014301937,53.82570861077958
0.510046,0.510055,0.508658,0.508658,1265608450.2646973,1.0029379260649582,50.07334041726221
0.50886,0.508929,0.508004,0.508004,1229281852.6673343,0.9086740290651676,47.607606916002254
0.508117,0.509202,0.507872,0.509202,1181216064.3897316,1.0940848551056475,52.2464432345293
0.509209,0.509209,0.506793,0.507027,1145253116.9174182,0.8029910711576103,44.53660830622139
0.507186,0.507777,0.50668,0.507777,1124805130.2696104,0.9017937251778262,47.41806186648894
0.508316,0.508765,0.507183,0.507183,1110589709.5038817,0.8317050554879154,45.40605776001269
0.507047,0.507289,0.506976,0.506976,1093426368.9357085,0.8081332859202706,44.69434262468995
0.507631,0.509393,0.507631,0.509393,1082274858.2765841,1.1645137047260408,53.800246317841236
0.50925,0.510312,0.509017,0.510312,1069822787.1248673,1.3104412839996173,56.71822491550642
0.51093,0.512103,0.51093,0.511857,1068075524.4239367,1.5746426349402292,61.15965818210669
0.511031,0.511769,0.510738,0.511769,1054381631.1351463,1.549531046332663,60.77710050095543
0.511903,0.511903,0.510242,0.510242,1027174879.201805,1.1937728418833715,54.416429043697526
0.509347,0.510362,0.509347,0.510203,1006743616.1571406,1.1862816193727286,54.26023842770482
0.509309,0.51043,0.509309,0.509661,1007847733.141486,1.0844334407369876,52.02533309739875
0.50935,0.509935,0.509074,0.509935,1001245595.4871324,1.1311748094074807,53.07752345862118
0.510007,0.510007,0.50938,0.509654,996428525.4172299,1.075646866846079,51.82224799541706
0.509747,0.510479,0.509747,0.5101,988291014.8626959,1.1595532651358078,53.694126644423704
0.51035,0.51035,0.509627,0.510143,975684966.3790787,1.1682651747202235,53.88017980185323
0.510637,0.516312,0.510637,0.515867,1007891095.0443413,2.4171696227639847,70.73601517061515
0.516385,0.517085,0.516051,0.517085,1011465809.7514726,2.7033643043750604,72.99752555214118
0.51699,0.519048,0.516315,0.518096,961693755.8177031,2.959193502526059,74.74233074584568
0.519974,0.521164,0.519974,0.521164,915378168.6723068,3.7952564804596918,79.14605810815492
0.520323,0.524277,0.520323,0.524277,886553230.7338727,4.7088382853013435,82.48330132989194
0.52355,0.524678,0.523462,0.524604,878837062.5351685,4.812185971247737,82.79476938716529
0.524523,0.524523,0.522218,0.522218,756680750.1082495,2.6555890083739446,72.64462723491957
0.52675,0.529184,0.52675,0.528793,902575417.9018945,3.9855429096733848,79.94200394786066
